s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
9.49090364,9.58800401,1.75745608,1.44585361,0.58354306,3.64165410,0.59622164
9.53959834,9.59338651,1.80585238,1.47406425,0.57522398,3.65027270,0.70034585
9.58837773,9.59741726,1.85446495,1.50125189,0.53964083,3.66035560,0.79848144
9.63723102,9.60017026,1.90324062,1.52746681,0.53371601,3.67157060,0.89869969
9.68614278,9.60165168,1.95212993,1.55326535,0.52134769,3.68428580,0.99649050
9.73509642,9.60188571,2.00108302,1.57909953,0.53423404,3.69804030,1.09900684
9.78407664,9.60083860,2.05005204,1.60520535,0.53184164,3.71339040,1.20345750
9.83307137,9.59851544,2.09899166,1.63273070,0.59199039,3.72979260,1.31151219
9.88205736,9.59477474,2.14783462,1.66218887,0.61072169,3.74784350,1.42617787
9.93103188,9.58957604,2.19653244,1.69359471,0.67222183,3.76706980,1.54208870
9.97996257,9.58278395,2.24498942,1.72707234,0.69605021,3.78792200,1.66636007
10.02885327,9.57435326,2.29314774,1.76131665,0.70462395,3.81010280,1.79255094
10.07771204,9.56427590,2.34095597,1.79570741,0.70279846,3.83391050,1.92861915
10.12655758,9.55256648,2.38837723,1.82939280,0.67593238,3.85925220,2.06825603
10.17542300,9.53929227,2.43540515,1.86184159,0.65176439,3.88627590,2.22123208
10.22433400,9.52451274,2.48202973,1.89286190,0.61631363,3.91513710,2.38235308
10.27331782,9.50830948,2.52825601,1.92222144,0.58223127,3.94584470,2.56453692
10.32239187,9.49076111,2.57408523,1.95047204,0.56888934,3.97886820,2.76406188
10.37157437,9.47189726,2.61950630,1.97754116,0.53196514,4.01410210,2.99865708
10.42086120,9.45180784,2.66451303,2.00370967,0.52984537,4.05242780,3.27908013
10.47025705,9.43050173,2.70907758,2.02822081,0.46306717,4.09395260,3.60635587
10.51972426,9.40814893,2.75320646,2.04996482,0.41622218,4.13951610,4.00956778
10.56924964,9.38486446,2.79691683,2.06834039,0.32608993,4.18983760,4.49696489
10.61881036,9.36085977,2.84027626,2.08319311,0.27340520,4.24586550,4.87100164
10.66839034,9.33626009,2.88332310,2.09580845,0.23552935,4.30357520,4.97057552
10.71798225,9.31115333,2.92609001,2.10706129,0.21831306,4.36040780,4.95965798
10.76758090,9.28558152,2.96858834,2.11809744,0.22672084,4.41639750,4.94923789
10.81718205,9.25953211,3.01079856,2.12929102,0.22462254,4.47157610,4.93907364
10.86678522,9.23301296,3.05271763,2.14068591,0.23480693,4.52597350,4.92885126
10.91639248,9.20600512,3.09432840,2.15266533,0.24814703,4.57961770,4.91842628
10.96600635,9.17848341,3.13560906,2.16493504,0.24648498,4.63253520,4.90817517
11.01562137,9.15045829,3.17655100,2.17758886,0.26362461,4.68475080,4.89851893
11.06523136,9.12190300,3.21711879,2.19079046,0.26863086,4.73628790,4.88958288
11.11482823,9.09281737,3.25729188,2.20462169,0.28921600,4.78716860,4.88190125
11.16439492,9.06317673,3.29701956,2.22040307,0.34766457,4.83741380,4.38396329
11.21392024,9.03288148,3.33619807,2.23860234,0.38735300,4.87697190,3.18707796
11.26339824,9.00187027,3.37475163,2.25925970,0.44784252,4.90211200,1.92507720
