s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
10.69632916,7.62963200,4.06561200,1.72592800,0.32362345,3.0447,0.0
10.79632397,7.61578200,4.16464300,1.74027000,0.61041335,2.2169,0.0
10.89629666,7.59592100,4.26262300,1.79110200,0.40618897,2.7177,0.0
10.99629433,7.57209200,4.35974000,1.82954900,0.36299376,2.8748,0.0
11.09627506,7.54475900,4.45591200,1.87745000,0.59484032,2.2457,0.0
11.19626213,7.51175500,4.55029500,1.88647400,0.41456298,2.6901,0.0
11.29618931,7.48270700,4.64590700,1.82323500,0.85000789,1.8787,0.0
11.39618622,7.46186600,4.74370800,1.79597800,0.30450159,3.1388,0.0
11.49616749,7.43806100,4.84081400,1.85354600,0.84778438,1.8811,0.0
11.59604576,7.40615500,4.93545900,1.99113400,1.90515390,1.2549,0.0
11.69582326,7.35695700,5.02226400,2.20243200,2.31897217,1.1374,0.0
11.79565536,7.28908400,5.09547400,2.40686200,1.77193246,1.3012,0.0
11.89539492,7.20945200,5.15553000,2.60603200,2.21615855,1.1635,0.0
11.99500589,7.11869500,5.19658500,2.87485900,3.16347556,0.9738,0.0
12.09453331,7.01975300,5.20736400,-3.12702400,2.45677432,1.1050,0.0
12.19447550,6.92074900,5.19370200,-3.00390500,0.01112118,8.0000,0.0
12.29443915,6.82173900,5.17992700,-3.05040300,0.94078540,1.7857,0.0
12.39442159,6.72185400,5.17551400,-3.11350600,0.32123276,3.0560,0.0
12.49442082,6.62186200,5.17431100,-3.10257500,0.54009612,2.3568,0.0
12.59433651,6.52216400,5.16771900,-2.95129400,2.49765867,1.0960,0.0
12.69359261,6.42780400,5.13693000,-2.65828600,3.34914659,0.9464,0.0
12.79339091,6.34837400,5.07651000,-2.51109500,0.39657819,2.7504,0.0
12.89322219,6.26658800,5.01926200,-2.62338300,1.84912566,1.2737,0.0
12.99312261,6.17560700,4.97800000,-2.76991200,1.08167676,1.6654,0.0
13.09309950,6.08063100,4.94677600,-2.84547200,0.43006710,2.6411,0.0
13.19309867,5.98437900,4.91965800,-2.84208100,0.49793610,2.4546,0.0
13.29305229,5.88963900,4.88779800,-2.77052100,0.93336329,1.7928,0.0
13.39300745,5.79827900,4.84724700,-2.68662400,0.74487866,2.0069,0.0
13.49296647,5.71018600,4.80000900,-2.58876900,1.21360814,1.5722,0.0
13.59279535,5.62856300,4.74253300,-2.44901700,1.58057937,1.3777,0.0
13.69272972,5.55692700,4.67285400,-2.37030800,0.00532450,8.0000,0.0
13.79270304,5.48522600,4.60318600,-2.42580200,1.10484206,1.6478,0.0
13.89262653,5.40632000,4.54187900,-2.55520300,1.48268091,1.4224,0.0
13.99255005,5.31922200,4.49290300,-2.67168000,0.84642650,1.8826,0.0
14.09254575,5.22823000,4.45143500,-2.71520500,0.02443275,8.0000,0.0
14.19254250,5.13713600,4.41018900,-2.68451100,0.63846896,2.1677,0.0
14.29249736,5.04889600,4.36323500,-2.61133300,0.82488209,1.9071,0.0
14.39248405,4.96479800,4.30915300,-2.54243800,0.55325559,2.3286,0.0
14.49244836,4.88383700,4.25051700,-2.47099700,0.87545058,1.8512,0.0
14.59242447,4.80830400,4.18501900,-2.44449200,0.34539395,2.9472,0.0
14.69237603,4.73057400,4.12218300,-2.48839900,0.53274335,2.3730,0.0
14.79237297,4.64957200,4.06354800,-2.49712800,0.35790194,2.8952,0.0
14.89236995,4.57072000,4.00205200,-2.49412500,0.29784050,3.1737,0.0
14.99235912,4.49007800,3.94293600,-2.50190000,0.14236023,4.5906,0.0
15.09234026,4.41029200,3.88268300,-2.47773500,0.34092780,2.9664,0.0
15.19233819,4.33259300,3.81973500,-2.47121400,0.21040534,3.7760,0.0
15.29233717,4.25358600,3.75843500,-2.47151600,0.20430458,3.8320,0.0
15.39232162,4.17585900,3.69554300,-2.42818200,0.66235817,2.1282,0.0
15.49230497,4.10246600,3.62764500,-2.40761400,0.25103194,3.4570,0.0
15.59223047,4.02743600,3.56164800,-2.48848200,1.36585661,1.4820,0.0
15.69219073,3.94408800,3.50646500,-2.55295300,0.07639439,6.2666,0.0
15.79217615,3.86114300,3.45063300,-2.52951100,0.39245795,2.7648,0.0
15.89217451,3.78044200,3.39158200,-2.50516600,0.09448501,5.6348,0.0
15.99217479,3.70030100,3.33177000,-2.50581300,0.10742465,5.2846,0.0
16.09217396,3.61952300,3.27282300,-2.50993500,0.02499940,8.0000,0.0
16.19217017,3.53889500,3.21367600,-2.48437200,0.48632409,2.4837,0.0
16.29213727,3.46126000,3.15069800,-2.42446900,0.71177674,2.0530,0.0
16.39210841,3.38829700,3.08235600,-2.35298000,0.71813892,2.0439,0.0
16.49207857,3.32042600,3.00895600,-2.28393800,0.66286091,2.1274,0.0
16.59204756,3.25756600,2.93122300,-2.22142700,0.58739883,2.2599,0.0
16.69203987,3.19936400,2.84991500,-2.20571400,0.27322029,3.3136,0.0
16.79199576,3.13898500,2.77025600,-2.30461100,1.70670510,1.3258,0.0
16.89174847,3.06610500,2.70214500,-2.51700200,2.54357963,1.0860,0.0
16.99133610,2.97858400,2.65462900,-2.77779300,2.67123434,1.0598,0.0
17.09105601,2.88149900,2.63185700,-2.99555600,1.68601817,1.3339,0.0
17.19100226,2.78174400,2.62567700,-3.09877200,0.38108323,2.8058,0.0
17.29100052,2.68177400,2.62330000,-3.08643700,0.62782010,2.1860,0.0
17.39095264,2.58219600,2.61466000,-3.00838300,0.93310464,1.7931,0.0
17.49093350,2.48382800,2.59677400,-2.97424500,0.25037862,3.4615,0.0
17.59089226,2.38506500,2.58135900,-3.03419400,0.94855635,1.7784,0.0
17.69086100,2.28527600,2.57536700,-3.08755900,0.11883139,5.0245,0.0
17.79084961,2.18540300,2.57056000,-3.04946500,0.88090429,1.8454,0.0
17.89078990,2.08638800,2.55699200,-2.98058500,0.49649531,2.4581,0.0
17.99078327,1.98811600,2.53851800,-2.99449000,0.77466707,1.9679,0.0
18.09071943,1.88876600,2.52771000,-3.06740300,0.68328469,2.0954,0.0
18.19071358,1.78885200,2.52370700,-3.08057800,0.41956555,2.6740,0.0
18.29066536,1.68923600,2.51552100,-3.01332600,0.92537149,1.8005,0.0
18.39063601,1.59078400,2.49816200,-2.97431300,0.14491964,4.5498,0.0
18.49059437,1.49210300,2.48223300,-3.03115900,0.99215290,1.7389,0.0
18.59054223,1.39234000,2.47615700,-3.11588700,0.70253720,2.0665,0.0
18.69051865,1.29236800,2.47709800,3.06167600,1.41347382,1.4569,0.0
18.79019637,1.19381900,2.49205600,2.77454800,4.34806342,0.8306,0.0
18.88896438,1.11150100,2.54663500,2.38515000,3.40795714,0.9382,0.0
18.98881034,1.05145400,2.62640700,2.15117700,1.29736497,1.5207,0.0
19.08873758,1.00218700,2.71334500,2.04889000,0.74941713,2.0008,0.0
19.18872880,0.95953900,2.80378500,2.00162300,0.19629738,3.9093,0.0
19.28871825,0.91867500,2.89504300,1.94851800,0.86648320,1.8607,0.0
19.38860487,0.88589300,2.98939700,1.85388800,1.02561722,1.7103,0.0
19.48859419,0.86291800,3.08671100,1.81548600,0.25692045,3.4171,0.0
19.58857550,0.83745300,3.18339500,1.84703400,0.37406966,2.8319,0.0
19.68857451,0.80838500,3.27907600,1.85506300,0.21347219,3.7488,0.0
19.78856972,0.78136700,3.37535200,1.84019100,0.08404800,5.9744,0.0
19.88856526,0.75515900,3.47185200,1.87751600,0.83094582,1.9001,0.0
19.98849804,0.72105400,3.56578500,2.00122300,1.64468420,1.3506,0.0
20.08828543,0.67210500,3.65274200,2.17049500,1.74094605,1.3127,0.0
20.18810303,0.60882400,3.72993700,2.32941600,1.43880095,1.4440,0.0
20.28802189,0.53505800,3.79733400,2.51074600,2.19580603,1.1689,0.0
20.38752507,0.44875300,3.84685500,2.83556800,4.30459233,0.8348,0.0
20.48660677,0.35007400,3.85577900,-3.10951100,2.44031387,1.1088,0.0
20.58656561,0.25128700,3.84051800,-3.00549500,0.34371393,2.9544,0.0
20.68650038,0.15205800,3.82866200,-3.06569000,0.86015172,1.8676,0.0
20.78647953,0.05213300,3.82537200,-3.12297400,0.28584804,3.2396,0.0
20.88647946,-0.04786600,3.82493900,-3.13377500,0.06970895,6.5602,0.0
20.98647485,-0.14785500,3.82380900,-3.10238400,0.55834886,2.3180,0.0
21.08642094,-0.24757600,3.81710500,-3.02547500,0.97980968,1.7498,0.0
21.18637816,-0.34617400,3.80067700,-2.96798600,0.17016705,4.1988,0.0
21.28636357,-0.44450600,3.78256900,-2.97416400,0.29364337,3.1963,0.0
21.38635280,-0.54333100,3.76735500,-2.92402700,1.29835479,1.5201,0.0
21.48612416,-0.63914700,3.73954100,-2.76515000,1.87668022,1.2643,0.0
21.58607407,-0.72825000,3.69425700,-2.65536200,0.32064437,3.0588,0.0
21.68606640,-0.81589300,3.64612000,-2.67100600,0.63359130,2.1760,0.0
21.78602688,-0.90637900,3.60364200,-2.73829400,0.71215081,2.0525,0.0
21.88600565,-0.99967500,3.56770300,-2.78732000,0.26852322,3.3425,0.0
21.98600435,-1.09392100,3.53427500,-2.77892900,0.43654199,2.6215,0.0
