x,y,yaw,curvature,speed
0.721054,3.565785,2.001223,1.655819,1.000
0.672105,3.652742,2.170495,1.754286,1.000
0.608824,3.729937,2.329416,1.446268,1.000
0.535058,3.797334,2.510746,2.222352,1.000
0.448753,3.846855,2.835568,4.510571,1.000
0.350074,3.855779,-3.109511,2.476896,1.000
0.251287,3.840518,-3.005495,-0.343932,1.000
0.152058,3.828662,-3.065690,-0.861705,1.000
0.052133,3.825372,-3.122974,-0.285903,1.000
-0.047866,3.824939,-3.133775,0.069774,1.000
-0.147855,3.823809,-3.102384,0.558722,1.000
-0.247576,3.817105,-3.025475,0.982212,1.000
-0.346174,3.800677,-2.967986,0.170099,1.000
-0.444506,3.782569,-2.974164,-0.293655,1.000
-0.543331,3.767355,-2.924027,1.303827,1.000
-0.639147,3.739541,-2.765150,1.893256,1.000
-0.728250,3.694257,-2.655362,0.320744,1.000
-0.815893,3.646120,-2.671006,-0.634164,1.000
-0.906379,3.603642,-2.738294,-0.713084,1.000
-0.999675,3.567703,-2.787320,-0.268513,1.000
-1.093921,3.534275,-2.778929,0.436650,1.000
-1.186571,3.496786,-2.696483,1.217293,1.000
-1.273971,3.448384,-2.562272,1.478826,1.000
-1.353359,3.387674,-2.452503,0.725491,1.000
-1.428176,3.321349,-2.404246,0.240897,1.000
-1.501386,3.253230,-2.389831,0.047467,1.000
-1.574271,3.184766,-2.369304,0.363238,1.000
-1.644614,3.113708,-2.328261,0.457935,1.000
-1.711640,3.039499,-2.297000,0.167561,1.000
-1.777414,2.964176,-2.285441,0.063618,1.000
-1.842708,2.888436,-2.299376,-0.342436,1.000
-1.910546,2.814986,-2.334492,-0.360075,1.000
-1.980994,2.744014,-2.354313,-0.036504,1.000
-2.051701,2.673299,-2.356167,-0.000562,1.000
-2.122411,2.602589,-2.356194,0.000021,1.000
-2.193122,2.531878,-2.356195,-0.000057,1.000
-2.263833,2.461167,-2.356194,0.000080,1.000
-2.334543,2.390456,-2.356185,0.000095,1.000
-2.405253,2.319745,-2.355393,0.015760,1.000
-2.475851,2.248922,-2.346992,0.152262,1.000
-2.545361,2.177034,-2.339665,-0.005707,1.000
-2.614909,2.105189,-2.363954,-0.480363,1.000
-2.687820,2.036769,-2.415096,-0.543172,1.000
-2.764333,1.972407,-2.467364,-0.502902,1.000
-2.843987,1.911966,-2.515206,-0.454576,1.000
-2.926297,1.855211,-2.561784,-0.477485,1.000
-3.011233,1.802438,-2.555755,0.598363,1.000
-3.092844,1.744699,-2.501069,0.496096,1.000
-3.171516,1.682970,-2.486168,-0.197724,1.000
-3.251384,1.622814,-2.549460,-1.071763,1.000
-3.337136,1.571566,-2.679201,-1.534931,1.000
-3.429667,1.533952,-2.803942,-0.970837,1.000
-3.525506,1.505430,-2.849458,0.057501,1.000
-3.621185,1.476355,-2.855344,-0.175258,1.000
-3.717346,1.448965,-2.914416,-1.009162,1.000
-3.815704,1.431389,-3.017084,-1.049097,1.000
-3.915420,1.424175,-3.059779,0.192008,1.000
-4.014969,1.415050,-3.006821,0.868778,1.000
-4.113364,1.397335,-2.974115,-0.213122,1.000
-4.212095,1.381723,-3.034176,-0.990608,1.000
-4.311883,1.375928,-3.108223,-0.493038,1.000
-4.411876,1.375054,-3.136956,-0.082073,1.000
-4.511876,1.375001,-3.141321,-0.005249,1.000
-4.611876,1.375000,3.141500,-0.002031,1.000
-4.711876,1.375019,3.139297,-0.042028,1.000
-4.811875,1.375459,3.120154,-0.340992,1.000
-4.911779,1.379306,3.055960,-0.945342,1.000
-5.010833,1.392538,2.980241,-0.571407,1.000
-5.109031,1.411412,2.973291,0.431878,1.000
